-0.68040000000000167013 , -nan(ind) , -nan(ind) , -nan(ind)
-0.6762000000000016886 , -nan(ind) , -nan(ind) , -nan(ind)
-0.67200000000000170708 , -nan(ind) , -nan(ind) , -nan(ind)
-0.66780000000000172555 , -nan(ind) , -nan(ind) , -nan(ind)
-0.66360000000000174403 , -nan(ind) , -nan(ind) , -nan(ind)
-0.6594000000000017625 , -nan(ind) , -nan(ind) , -nan(ind)
-0.65520000000000178098 , -nan(ind) , -nan(ind) , -nan(ind)
-0.65100000000000179945 , -nan(ind) , -nan(ind) , -nan(ind)
-0.64680000000000181792 , -nan(ind) , -nan(ind) , -nan(ind)
-0.6426000000000018364 , -nan(ind) , -nan(ind) , -nan(ind)
-0.63840000000000185487 , -nan(ind) , -nan(ind) , -nan(ind)
-0.63420000000000187335 , -nan(ind) , -nan(ind) , -nan(ind)
-0.63000000000000189182 , -nan(ind) , -nan(ind) , -nan(ind)
-0.62580000000000191029 , -nan(ind) , -nan(ind) , -nan(ind)
-0.62160000000000192877 , -nan(ind) , -nan(ind) , -nan(ind)
-0.61740000000000194724 , -nan(ind) , -nan(ind) , -nan(ind)
-0.61320000000000196572 , -nan(ind) , -nan(ind) , -nan(ind)
-0.60900000000000198419 , -nan(ind) , -nan(ind) , -nan(ind)
-0.60480000000000200266 , -nan(ind) , -nan(ind) , -nan(ind)
-0.60060000000000202114 , -nan(ind) , -nan(ind) , -nan(ind)
-0.59640000000000203961 , -nan(ind) , -nan(ind) , -nan(ind)
-0.59220000000000205809 , -nan(ind) , -nan(ind) , -nan(ind)
-0.58800000000000207656 , -nan(ind) , -nan(ind) , -nan(ind)
-0.58380000000000209504 , -nan(ind) , -nan(ind) , -nan(ind)
-0.57960000000000211351 , -nan(ind) , -nan(ind) , -nan(ind)
-0.57540000000000213198 , -nan(ind) , -nan(ind) , -nan(ind)
-0.57120000000000215046 , -nan(ind) , -nan(ind) , -nan(ind)
-0.56700000000000216893 , -nan(ind) , -nan(ind) , -nan(ind)
-0.56280000000000218741 , -nan(ind) , -nan(ind) , -nan(ind)
-0.55860000000000220588 , -nan(ind) , -nan(ind) , -nan(ind)
-0.55440000000000222435 , -nan(ind) , -nan(ind) , -nan(ind)
-0.55020000000000224283 , -nan(ind) , -nan(ind) , -nan(ind)
-0.5460000000000022613 , -nan(ind) , -nan(ind) , -nan(ind)
-0.54180000000000227978 , -nan(ind) , -nan(ind) , -nan(ind)
-0.53760000000000229825 , -nan(ind) , -nan(ind) , -nan(ind)
-0.53340000000000231672 , -nan(ind) , -nan(ind) , -nan(ind)
-0.5292000000000023352 , -nan(ind) , -nan(ind) , -nan(ind)
-0.52500000000000235367 , -nan(ind) , -nan(ind) , -nan(ind)
-0.52080000000000237215 , -nan(ind) , -nan(ind) , -nan(ind)
-0.51660000000000239062 , -nan(ind) , -nan(ind) , -nan(ind)
-0.5124000000000024091 , -nan(ind) , -nan(ind) , -nan(ind)
-0.50820000000000242757 , -nan(ind) , -nan(ind) , -nan(ind)
-0.50400000000000244604 , -nan(ind) , -nan(ind) , -nan(ind)
-0.49980000000000246452 , -nan(ind) , -nan(ind) , -nan(ind)
-0.49560000000000248299 , -nan(ind) , -nan(ind) , -nan(ind)
-0.49140000000000250147 , -nan(ind) , -nan(ind) , -nan(ind)
-0.48720000000000251994 , -nan(ind) , -nan(ind) , -nan(ind)
-0.48300000000000253841 , -nan(ind) , -nan(ind) , -nan(ind)
-0.47880000000000255689 , -nan(ind) , -nan(ind) , -nan(ind)
-0.47460000000000257536 , -nan(ind) , -nan(ind) , -nan(ind)
-0.47040000000000259384 , -nan(ind) , -nan(ind) , -nan(ind)
-0.46620000000000261231 , -nan(ind) , -nan(ind) , -nan(ind)
-0.46200000000000263078 , -nan(ind) , -nan(ind) , -nan(ind)
-0.45780000000000264926 , -nan(ind) , -nan(ind) , -nan(ind)
-0.45360000000000266773 , -nan(ind) , -nan(ind) , -nan(ind)
-0.44940000000000268621 , -nan(ind) , -nan(ind) , -nan(ind)
-0.44520000000000270468 , -nan(ind) , -nan(ind) , -nan(ind)
-0.44100000000000272316 , -nan(ind) , -nan(ind) , -nan(ind)
-0.43680000000000274163 , -nan(ind) , -nan(ind) , -nan(ind)
-0.4326000000000027601 , -nan(ind) , -nan(ind) , -nan(ind)
-0.42840000000000277858 , -nan(ind) , -nan(ind) , -nan(ind)
-0.42420000000000279705 , -nan(ind) , -nan(ind) , -nan(ind)
-0.42000000000000281553 , -nan(ind) , -nan(ind) , -nan(ind)
-0.415800000000002834 , -nan(ind) , -nan(ind) , -nan(ind)
-0.41160000000000285247 , -nan(ind) , -nan(ind) , -nan(ind)
-0.40740000000000287095 , -nan(ind) , -nan(ind) , -nan(ind)
-0.40320000000000288942 , -nan(ind) , -nan(ind) , -nan(ind)
-0.3990000000000029079 , -nan(ind) , -nan(ind) , -nan(ind)
-0.39480000000000292637 , -nan(ind) , -nan(ind) , -nan(ind)
-0.39060000000000294484 , -nan(ind) , -nan(ind) , -nan(ind)
-0.38640000000000296332 , -nan(ind) , -nan(ind) , -nan(ind)
-0.38220000000000298179 , -nan(ind) , -nan(ind) , -nan(ind)
-0.37800000000000300027 , -nan(ind) , -nan(ind) , -nan(ind)
-0.37380000000000301874 , -nan(ind) , -nan(ind) , -nan(ind)
-0.36960000000000303721 , -nan(ind) , -nan(ind) , -nan(ind)
-0.36540000000000305569 , -nan(ind) , -nan(ind) , -nan(ind)
-0.36120000000000307416 , -nan(ind) , -nan(ind) , -nan(ind)
-0.35700000000000309264 , -nan(ind) , -nan(ind) , -nan(ind)
-0.35280000000000311111 , -nan(ind) , -nan(ind) , -nan(ind)
-0.34860000000000312959 , -nan(ind) , -nan(ind) , -nan(ind)
-0.34440000000000314806 , -nan(ind) , -nan(ind) , -nan(ind)
-0.34020000000000316653 , -nan(ind) , -nan(ind) , -nan(ind)
-0.33600000000000318501 , -nan(ind) , -nan(ind) , -nan(ind)
-0.33180000000000320348 , -nan(ind) , -nan(ind) , -nan(ind)
-0.32760000000000322196 , -nan(ind) , -nan(ind) , -nan(ind)
