-5.25 , 6.5173402232541987172e-24 , -9.7244772860518720803e-25 , -9.7244772860518720803e-25 , -9.7244772860518720803e-25 , -9.7244772860518720803e-25 , -9.7244772860518720803e-25 , -9.7244772860518720803e-25 , -9.7244772860518720803e-25
-5.1449999999999995737 , 2.3076731010656925435e-23 , -3.4971746790498044045e-24 , -3.4971746790498044045e-24 , -3.4971746790498044045e-24 , -3.4971746790498044045e-24 , -3.4971746790498044045e-24 , -3.4971746790498044045e-24 , -3.4971746790498044045e-24
-5.0399999999999991473 , 8.1710559199917386144e-23 , -1.2576748730062232638e-23 , -1.2576748730062232638e-23 , -1.2576748730062232638e-23 , -1.2576748730062232638e-23 , -1.2576748730062232638e-23 , -1.2576748730062232638e-23 , -1.2576748730062232638e-23
-4.934999999999998721 , 2.8932241233300842319e-22 , -4.5229255938138470957e-23 , -4.5229255938138470957e-23 , -4.5229255938138470957e-23 , -4.5229255938138470957e-23 , -4.5229255938138470957e-23 , -4.5229255938138470957e-23 , -4.5229255938138470957e-23
-4.8299999999999982947 , 1.0244386906395808425e-21 , -1.6265615514984736648e-22 , -1.6265615514984736648e-22 , -1.6265615514984736648e-22 , -1.6265615514984736648e-22 , -1.6265615514984736648e-22 , -1.6265615514984736648e-22 , -1.6265615514984736648e-22
-4.7249999999999978684 , 3.6273533820511625275e-21 , -5.8495379283526514809e-22 , -5.8495379283526514809e-22 , -5.8495379283526514809e-22 , -5.8495379283526514809e-22 , -5.8495379283526514809e-22 , -5.8495379283526514809e-22 , -5.8495379283526514809e-22
-4.619999999999997442 , 1.2843806738755008107e-20 , -2.1036458130781243517e-21 , -2.1036458130781243517e-21 , -2.1036458130781243517e-21 , -2.1036458130781243517e-21 , -2.1036458130781243517e-21 , -2.1036458130781243517e-21 , -2.1036458130781243517e-21
-4.5149999999999970157 , 4.5477612509097908429e-20 , -7.5652568819695057587e-21 , -7.5652568819695057587e-21 , -7.5652568819695057587e-21 , -7.5652568819695057587e-21 , -7.5652568819695057587e-21 , -7.5652568819695057587e-21 , -7.5652568819695057587e-21
-4.4099999999999965894 , 1.6102805668096943318e-19 , -2.7206629240709096607e-20 , -2.7206629240709096607e-20 , -2.7206629240709096607e-20 , -2.7206629240709096607e-20 , -2.7206629240709096607e-20 , -2.7206629240709096607e-20 , -2.7206629240709096607e-20
-4.3049999999999961631 , 5.7017142298888577337e-19 , -9.7842107173591029461e-20 , -9.7842107173591029461e-20 , -9.7842107173591029461e-20 , -9.7842107173591029461e-20 , -9.7842107173591029461e-20 , -9.7842107173591029461e-20 , -9.7842107173591029461e-20
-4.1999999999999957367 , 2.0188745880306657327e-18 , -3.5186563728535714158e-19 , -3.5186563728535714158e-19 , -3.5186563728535714158e-19 , -3.5186563728535714158e-19 , -3.5186563728535714158e-19 , -3.5186563728535714158e-19 , -3.5186563728535714158e-19
-4.0949999999999953104 , 7.1484722626574721803e-18 , -1.265400248203644212e-18 , -1.265400248203644212e-18 , -1.265400248203644212e-18 , -1.265400248203644212e-18 , -1.265400248203644212e-18 , -1.265400248203644212e-18 , -1.265400248203644212e-18
-3.9899999999999953282 , 2.5311456190961115096e-17 , -4.5507080501164911641e-18 , -4.5507080501164911641e-18 , -4.5507080501164911641e-18 , -4.5507080501164911641e-18 , -4.5507080501164911641e-18 , -4.5507080501164911641e-18 , -4.5507080501164911641e-18
-3.8849999999999953459 , 8.9623319636239642078e-17 , -1.6365528445875686723e-17 , -1.6365528445875686723e-17 , -1.6365528445875686723e-17 , -1.6365528445875686723e-17 , -1.6365528445875686723e-17 , -1.6365528445875686723e-17 , -1.6365528445875686723e-17
-3.7799999999999953637 , 3.1734007565664987021e-16 , -5.8854692140910272387e-17 , -5.8854692140910272387e-17 , -5.8854692140910272387e-17 , -5.8854692140910272387e-17 , -5.8854692140910272387e-17 , -5.8854692140910272387e-17 , -5.8854692140910272387e-17
-3.6749999999999953815 , 1.1236442036124690872e-15 , -2.1165676369431501156e-16 , -2.1165676369431501156e-16 , -2.1165676369431501156e-16 , -2.1165676369431501156e-16 , -2.1165676369431501156e-16 , -2.1165676369431501156e-16 , -2.1165676369431501156e-16
-3.5699999999999953992 , 3.9786222830486897711e-15 , -7.6117271177452377852e-16 , -7.6117271177452377852e-16 , -7.6117271177452377852e-16 , -7.6117271177452377852e-16 , -7.6117271177452377852e-16 , -7.6117271177452377852e-16 , -7.6117271177452377852e-16
-3.464999999999995417 , 1.4087586818212156009e-14 , -2.7373748281767859229e-15 , -2.7373748281767859229e-15 , -2.7373748281767859229e-15 , -2.7373748281767859229e-15 , -2.7373748281767859229e-15 , -2.7373748281767859229e-15 , -2.7373748281767859229e-15
-3.3599999999999954348 , 4.9881614348319592963e-14 , -9.8443110663635742981e-15 , -9.8443110663635742981e-15 , -9.8443110663635742981e-15 , -9.8443110663635742981e-15 , -9.8443110663635742981e-15 , -9.8443110663635742981e-15 , -9.8443110663635742981e-15
-3.2549999999999954525 , 1.7662183609600261149e-13 , -3.5402700197939166299e-14 , -3.5402700197939166299e-14 , -3.5402700197939166299e-14 , -3.5402700197939166299e-14 , -3.5402700197939166299e-14 , -3.5402700197939166299e-14 , -3.5402700197939166299e-14
-3.1499999999999954703 , 6.2538619476284272264e-13 , -1.2731730771771942762e-13 , -1.2731730771771942762e-13 , -1.2731730771771942762e-13 , -1.2731730771771942762e-13 , -1.2731730771771942762e-13 , -1.2731730771771942762e-13 , -1.2731730771771942762e-13
